bezirk_key;bezirk_name;prognose_key;prognose_name;bezirksregion_key;bezirksregion_name;kiez_key;kiez_name
6;Steglitz-Zehlendorf;604;Region D;60408;Zehlendorf Nord;6040804;Krumme Lanke
6;Steglitz-Zehlendorf;604;Region D;60408;Zehlendorf Nord;6040805;Fischerhüttenstraße
6;Steglitz-Zehlendorf;604;Region D;60408;Zehlendorf Nord;6040806;Fischtal
6;Steglitz-Zehlendorf;604;Region D;60408;Zehlendorf Nord;6040807;Zehlendorf Eiche
6;Steglitz-Zehlendorf;604;Region D;60408;Zehlendorf Nord;6040808;Hüttenweg
6;Steglitz-Zehlendorf;604;Region D;60408;Zehlendorf Nord;6040809;Thielallee
6;Steglitz-Zehlendorf;604;Region D;60408;Zehlendorf Nord;6040810;Dahlem
7;Tempelhof-Schöneberg;701;Schöneberg Nord;70101;Schöneberg Nord;7010101;Wittenbergplatz/Viktoria-Luise-Platz
7;Tempelhof-Schöneberg;701;Schöneberg Nord;70101;Schöneberg Nord;7010102;Nollendorfplatz
7;Tempelhof-Schöneberg;701;Schöneberg Nord;70101;Schöneberg Nord;7010103;Barbarossaplatz
7;Tempelhof-Schöneberg;701;Schöneberg Nord;70101;Schöneberg Nord;7010104;Dennewitzplatz
7;Tempelhof-Schöneberg;702;Schöneberg Süd;70202;Schöneberg Süd;7020201;Bayerischer Platz
7;Tempelhof-Schöneberg;702;Schöneberg Süd;70202;Schöneberg Süd;7020202;Volkspark (Rudolf-Wilde-Park)
7;Tempelhof-Schöneberg;702;Schöneberg Süd;70202;Schöneberg Süd;7020203;Kaiser-Wilhelm-Platz
7;Tempelhof-Schöneberg;702;Schöneberg Süd;70202;Schöneberg Süd;7020204;Schöneberger Insel
7;Tempelhof-Schöneberg;703;Friedenau;70303;Friedenau;7030301;Friedenau
7;Tempelhof-Schöneberg;703;Friedenau;70303;Friedenau;7030302;Ceciliengärten
7;Tempelhof-Schöneberg;703;Friedenau;70303;Friedenau;7030303;Grazer Platz
7;Tempelhof-Schöneberg;704;Tempelhof;70404;Tempelhof;7040401;Neu-Tempelhof
7;Tempelhof-Schöneberg;704;Tempelhof;70404;Tempelhof;7040402;Lindenhofsiedlung
7;Tempelhof-Schöneberg;704;Tempelhof;70404;Tempelhof;7040403;Manteuffelstraße
7;Tempelhof-Schöneberg;704;Tempelhof;70404;Tempelhof;7040404;Marienhöhe
7;Tempelhof-Schöneberg;704;Tempelhof;70404;Tempelhof;7040405;Rathaus Tempelhof
7;Tempelhof-Schöneberg;704;Tempelhof;70404;Tempelhof;7040406;Germaniagarten
7;Tempelhof-Schöneberg;705;Mariendorf;70505;Mariendorf;7050501;Rathausstraße
7;Tempelhof-Schöneberg;705;Mariendorf;70505;Mariendorf;7050502;Fritz-Werner-Straße
7;Tempelhof-Schöneberg;705;Mariendorf;70505;Mariendorf;7050503;Eisenacher Straße
7;Tempelhof-Schöneberg;705;Mariendorf;70505;Mariendorf;7050504;Imbrosweg
7;Tempelhof-Schöneberg;705;Mariendorf;70505;Mariendorf;7050505;Hundsteinweg
